id,name,muscle_group,equipment_type,tier_id (current id),tier_name,suggested_tier_name
c655a7c0-3f6a-4a5c-88a9-d69f6ae8fbf4,Cable Kickback,Glutes,Cable,15e55e93-3a3d-4aef-af47-22e2e44eb07c,small_isolation,
ead51652-e0f9-4a5c-beea-6de7c1369593,Cable Pull Through,Glutes,Cable,15e55e93-3a3d-4aef-af47-22e2e44eb07c,small_isolation,
a2fca44b-ca08-40e3-b7f2-2877e2febccd,Cable Rope Facepull,Shoulders,Cable,15e55e93-3a3d-4aef-af47-22e2e44eb07c,small_isolation,
fc438be9-888a-4343-bdd9-fef79d1c54e9,Cable Shrug,Shoulders,Cable,15e55e93-3a3d-4aef-af47-22e2e44eb07c,small_isolation,
e80f8361-221e-4fc0-9beb-d66d8f6f5963,Cable Upright Row,Shoulders,Cable,0a0a2bfe-d078-4f07-8068-ce686be7c005,medium_compound,small_compound
f4b12f57-4766-4eaf-b4c6-1343aa9f4ba3,Cable Wrist Curl,Forearms,Cable,15e55e93-3a3d-4aef-af47-22e2e44eb07c,small_isolation,
d40d6970-7246-43a1-aa08-ca70535c9f93,Calf Machine,Calves,Machine,15e55e93-3a3d-4aef-af47-22e2e44eb07c,small_isolation,
373ba96a-d33f-4367-b374-b95a491c1a5a,Calf Raises,Calves,Machine,15e55e93-3a3d-4aef-af47-22e2e44eb07c,small_isolation,
4411294a-7711-44a2-8af9-bbb6e0de2991,Chest Supported Row,Back,Machine,0a0a2bfe-d078-4f07-8068-ce686be7c005,medium_compound,
e2121faf-90c4-4ceb-8af9-290370abde2b,Clean & Jerk,Olympic Lifts,Barbell,0a0a2bfe-d078-4f07-8068-ce686be7c005,medium_compound,large_compound
90377a80-4601-4919-bdd1-8e1015bc96f1,Clean Pull,Olympic Lifts,Barbell,0a0a2bfe-d078-4f07-8068-ce686be7c005,medium_compound,large_compound
a15d8beb-f7e9-4d83-8b5f-b7d60f9f9c97,Deadlift,Back,Barbell,42e7b381-1398-4b6a-9e85-569eca1504f1,large_compound,
11903e7a-7358-4d7b-b5a0-352378216298,Deadlift (Conventional),Glutes,Barbell,42e7b381-1398-4b6a-9e85-569eca1504f1,large_compound,
ee3cb8c9-571c-45c9-b3a2-c537eee1e463,"Deadlift (Deficit 1"")",Glutes,Barbell,42e7b381-1398-4b6a-9e85-569eca1504f1,large_compound,
8040f98d-867f-4bc5-85c1-870c57127255,"Deadlift (Deficit 3.5"")",Glutes,Barbell,42e7b381-1398-4b6a-9e85-569eca1504f1,large_compound,
1a7031ce-3f9e-4d20-bb28-b8166145364e,Deadlift (Sumo),Glutes,Barbell,42e7b381-1398-4b6a-9e85-569eca1504f1,large_compound,
fdbf3d36-6ae4-43bf-acce-a6829a65ac52,Dip (Chest-Focused),Chest,Bodyweight Only,2c29ad91-9826-4f7b-83b5-e21d6c8daf88,small_compound,medium_compound
bf42c864-6f1f-4eed-92b8-67630bac6cb8,Dip (Triceps-Focused),Triceps,Bodyweight Only,2c29ad91-9826-4f7b-83b5-e21d6c8daf88,small_compound,medium_compound
2cef4af9-2010-4314-b836-37d53e7dc3c1,"Dip (Weighted, Chest-Focused)",Chest,Bodyweight Loadable,2c29ad91-9826-4f7b-83b5-e21d6c8daf88,small_compound,medium_compound
68b0ba84-66cf-4afa-851d-6c9d94585019,"Dip (Weighted, Triceps-Focused)",Triceps,Bodyweight Loadable,2c29ad91-9826-4f7b-83b5-e21d6c8daf88,small_compound,medium_compound
cf861493-0fa6-4c6d-9d23-09a1b4f61ac4,Dip Machine,Triceps,Machine,2c29ad91-9826-4f7b-83b5-e21d6c8daf88,small_compound,medium_compound
8795ec80-8c63-473c-88ae-c4538c2f2cbd,Dumbbell Bench Wrist Curl,Forearms,Dumbbell,15e55e93-3a3d-4aef-af47-22e2e44eb07c,small_isolation,
d23bc9f0-c6d1-47fe-a5e3-394e4befb1f3,Dumbbell Flye (Flat),Chest,Dumbbell,15e55e93-3a3d-4aef-af47-22e2e44eb07c,small_isolation,
794bfe2c-d74d-49b9-9999-2ae8f453e257,Dumbbell Flye (Incline),Chest,Dumbbell,15e55e93-3a3d-4aef-af47-22e2e44eb07c,small_isolation,
cb73997c-cc66-461c-a90a-6985438a40f2,Dumbbell Press (Flat),Chest,Dumbbell,0a0a2bfe-d078-4f07-8068-ce686be7c005,medium_compound,
d1d1b614-18c1-4c36-911c-57ae718e40be,Dumbbell Press (Incline),Chest,Dumbbell,0a0a2bfe-d078-4f07-8068-ce686be7c005,medium_compound,
467a4b0b-56e7-4cbc-954d-55c2a73898f4,Dumbbell Press Flye (Flat),Chest,Dumbbell,0a0a2bfe-d078-4f07-8068-ce686be7c005,medium_compound,
